Month,Passengers
1949-01,117
1949-02,123
1949-03,137
1949-04,134
1949-05,126
1949-06,140
1949-07,153
1949-08,153
1949-09,141
1949-10,124
1949-11,109
1949-12,123
1950-01,120
1950-02,131
1950-03,146
1950-04,140
1950-05,130
1950-06,154
1950-07,175
1950-08,175
1950-09,163
1950-10,138
1950-11,119
1950-12,145
1951-01,150
1951-02,155
1951-03,183
1951-04,168
1951-05,177
1951-06,183
1951-07,204
1951-08,204
1951-09,189
1951-10,167
1951-11,151
1951-12,171
1952-01,176
1952-02,185
1952-03,198
1952-04,186
1952-05,188
1952-06,223
1952-07,235
1952-08,247
1952-09,214
1952-10,196
1952-11,177
1952-12,199
1953-01,201
1953-02,201
1953-03,241
1953-04,240
1953-05,234
1953-06,248
1953-07,269
1953-08,277
1953-09,242
1953-10,216
1953-11,185
1953-12,206
1954-01,209
1954-02,193
1954-03,240
1954-04,232
1954-05,239
1954-06,269
1954-07,307
1954-08,298
1954-09,264
1954-10,234
1954-11,208
1954-12,234
1955-01,247
1955-02,238
1955-03,272
1955-04,274
1955-05,275
1955-06,320
1955-07,369
1955-08,352
1955-09,317
1955-10,279
1955-11,242
1955-12,283
1956-01,289
1956-02,282
1956-03,322
1956-04,318
1956-05,323
1956-06,379
1956-07,418
1956-08,410
1956-09,360
1956-10,311
1956-11,276
1956-12,311
1957-01,320
1957-02,306
1957-03,361
1957-04,353
1957-05,360
1957-06,427
1957-07,470
1957-08,472
1957-09,409
1957-10,352
1957-11,310
1957-12,341
1958-01,345
1958-02,323
1958-03,367
1958-04,353
1958-05,368
1958-06,440
1958-07,496
1958-08,510
1958-09,409
1958-10,364
1958-11,315
1958-12,342
1959-01,365
1959-02,347
1959-03,411
1959-04,401
1959-05,425
1959-06,477
1959-07,553
1959-08,564
1959-09,468
1959-10,412
1959-11,367
1959-12,410
1960-01,422
1960-02,396
1960-03,424
1960-04,466
1960-05,477
1960-06,540
1960-07,627
1960-08,611
1960-09,513
1960-10,466
1960-11,395
1960-12,437
