Month,Passengers
1949-01,137
1949-02,143
1949-03,157
1949-04,154
1949-05,146
1949-06,160
1949-07,173
1949-08,173
1949-09,161
1949-10,144
1949-11,129
1949-12,143
1950-01,140
1950-02,151
1950-03,166
1950-04,160
1950-05,150
1950-06,174
1950-07,195
1950-08,195
1950-09,183
1950-10,158
1950-11,139
1950-12,165
1951-01,170
1951-02,175
1951-03,203
1951-04,188
1951-05,197
1951-06,203
1951-07,224
1951-08,224
1951-09,209
1951-10,187
1951-11,171
1951-12,191
1952-01,196
1952-02,205
1952-03,218
1952-04,206
1952-05,208
1952-06,243
1952-07,255
1952-08,267
1952-09,234
1952-10,216
1952-11,197
1952-12,219
1953-01,221
1953-02,221
1953-03,261
1953-04,260
1953-05,254
1953-06,268
1953-07,289
1953-08,297
1953-09,262
1953-10,236
1953-11,205
1953-12,226
1954-01,229
1954-02,213
1954-03,260
1954-04,252
1954-05,259
1954-06,289
1954-07,327
1954-08,318
1954-09,284
1954-10,254
1954-11,228
1954-12,254
1955-01,267
1955-02,258
1955-03,292
1955-04,294
1955-05,295
1955-06,340
1955-07,389
1955-08,372
1955-09,337
1955-10,299
1955-11,262
1955-12,303
1956-01,309
1956-02,302
1956-03,342
1956-04,338
1956-05,343
1956-06,399
1956-07,438
1956-08,430
1956-09,380
1956-10,331
1956-11,296
1956-12,331
1957-01,340
1957-02,326
1957-03,381
1957-04,373
1957-05,380
1957-06,447
1957-07,490
1957-08,492
1957-09,429
1957-10,372
1957-11,330
1957-12,361
1958-01,365
1958-02,343
1958-03,387
1958-04,373
1958-05,388
1958-06,460
1958-07,516
1958-08,530
1958-09,429
1958-10,384
1958-11,335
1958-12,362
1959-01,385
1959-02,367
1959-03,431
1959-04,421
1959-05,445
1959-06,497
1959-07,573
1959-08,584
1959-09,488
1959-10,432
1959-11,387
1959-12,430
1960-01,442
1960-02,416
1960-03,444
1960-04,486
1960-05,497
1960-06,560
1960-07,647
1960-08,631
1960-09,533
1960-10,486
1960-11,415
1960-12,457
