Month,Passengers
1949-01,127
1949-02,133
1949-03,147
1949-04,144
1949-05,136
1949-06,150
1949-07,163
1949-08,163
1949-09,151
1949-10,134
1949-11,119
1949-12,133
1950-01,130
1950-02,141
1950-03,156
1950-04,150
1950-05,140
1950-06,164
1950-07,185
1950-08,185
1950-09,173
1950-10,148
1950-11,129
1950-12,155
1951-01,160
1951-02,165
1951-03,193
1951-04,178
1951-05,187
1951-06,193
1951-07,214
1951-08,214
1951-09,199
1951-10,177
1951-11,161
1951-12,181
1952-01,186
1952-02,195
1952-03,208
1952-04,196
1952-05,198
1952-06,233
1952-07,245
1952-08,257
1952-09,224
1952-10,206
1952-11,187
1952-12,209
1953-01,211
1953-02,211
1953-03,251
1953-04,250
1953-05,244
1953-06,258
1953-07,279
1953-08,287
1953-09,252
1953-10,226
1953-11,195
1953-12,216
1954-01,219
1954-02,203
1954-03,250
1954-04,242
1954-05,249
1954-06,279
1954-07,317
1954-08,308
1954-09,274
1954-10,244
1954-11,218
1954-12,244
1955-01,257
1955-02,248
1955-03,282
1955-04,284
1955-05,285
1955-06,330
1955-07,379
1955-08,362
1955-09,327
1955-10,289
1955-11,252
1955-12,293
1956-01,299
1956-02,292
1956-03,332
1956-04,328
1956-05,333
1956-06,389
1956-07,428
1956-08,420
1956-09,370
1956-10,321
1956-11,286
1956-12,321
1957-01,330
1957-02,316
1957-03,371
1957-04,363
1957-05,370
1957-06,437
1957-07,480
1957-08,482
1957-09,419
1957-10,362
1957-11,320
1957-12,351
1958-01,355
1958-02,333
1958-03,377
1958-04,363
1958-05,378
1958-06,450
1958-07,506
1958-08,520
1958-09,419
1958-10,374
1958-11,325
1958-12,352
1959-01,375
1959-02,357
1959-03,421
1959-04,411
1959-05,435
1959-06,487
1959-07,563
1959-08,574
1959-09,478
1959-10,422
1959-11,377
1959-12,420
1960-01,432
1960-02,406
1960-03,434
1960-04,476
1960-05,487
1960-06,550
1960-07,637
1960-08,621
1960-09,523
1960-10,476
1960-11,405
1960-12,447
