Month,Passengers
1949-01,132
1949-02,138
1949-03,152
1949-04,149
1949-05,141
1949-06,155
1949-07,168
1949-08,168
1949-09,156
1949-10,139
1949-11,124
1949-12,138
1950-01,135
1950-02,146
1950-03,161
1950-04,155
1950-05,145
1950-06,169
1950-07,190
1950-08,190
1950-09,178
1950-10,153
1950-11,134
1950-12,160
1951-01,165
1951-02,170
1951-03,198
1951-04,183
1951-05,192
1951-06,198
1951-07,219
1951-08,219
1951-09,204
1951-10,182
1951-11,166
1951-12,186
1952-01,191
1952-02,200
1952-03,213
1952-04,201
1952-05,203
1952-06,238
1952-07,250
1952-08,262
1952-09,229
1952-10,211
1952-11,192
1952-12,214
1953-01,216
1953-02,216
1953-03,256
1953-04,255
1953-05,249
1953-06,263
1953-07,284
1953-08,292
1953-09,257
1953-10,231
1953-11,200
1953-12,221
1954-01,224
1954-02,208
1954-03,255
1954-04,247
1954-05,254
1954-06,284
1954-07,322
1954-08,313
1954-09,279
1954-10,249
1954-11,223
1954-12,249
1955-01,262
1955-02,253
1955-03,287
1955-04,289
1955-05,290
1955-06,335
1955-07,384
1955-08,367
1955-09,332
1955-10,294
1955-11,257
1955-12,298
1956-01,304
1956-02,297
1956-03,337
1956-04,333
1956-05,338
1956-06,394
1956-07,433
1956-08,425
1956-09,375
1956-10,326
1956-11,291
1956-12,326
1957-01,335
1957-02,321
1957-03,376
1957-04,368
1957-05,375
1957-06,442
1957-07,485
1957-08,487
1957-09,424
1957-10,367
1957-11,325
1957-12,356
1958-01,360
1958-02,338
1958-03,382
1958-04,368
1958-05,383
1958-06,455
1958-07,511
1958-08,525
1958-09,424
1958-10,379
1958-11,330
1958-12,357
1959-01,380
1959-02,362
1959-03,426
1959-04,416
1959-05,440
1959-06,492
1959-07,568
1959-08,579
1959-09,483
1959-10,427
1959-11,382
1959-12,425
1960-01,437
1960-02,411
1960-03,439
1960-04,481
1960-05,492
1960-06,555
1960-07,642
1960-08,626
1960-09,528
1960-10,481
1960-11,410
1960-12,452
