Month,Passengers
1949-01,122
1949-02,128
1949-03,142
1949-04,139
1949-05,131
1949-06,145
1949-07,158
1949-08,158
1949-09,146
1949-10,129
1949-11,114
1949-12,128
1950-01,125
1950-02,136
1950-03,151
1950-04,145
1950-05,135
1950-06,159
1950-07,180
1950-08,180
1950-09,168
1950-10,143
1950-11,124
1950-12,150
1951-01,155
1951-02,160
1951-03,188
1951-04,173
1951-05,182
1951-06,188
1951-07,209
1951-08,209
1951-09,194
1951-10,172
1951-11,156
1951-12,176
1952-01,181
1952-02,190
1952-03,203
1952-04,191
1952-05,193
1952-06,228
1952-07,240
1952-08,252
1952-09,219
1952-10,201
1952-11,182
1952-12,204
1953-01,206
1953-02,206
1953-03,246
1953-04,245
1953-05,239
1953-06,253
1953-07,274
1953-08,282
1953-09,247
1953-10,221
1953-11,190
1953-12,211
1954-01,214
1954-02,198
1954-03,245
1954-04,237
1954-05,244
1954-06,274
1954-07,312
1954-08,303
1954-09,269
1954-10,239
1954-11,213
1954-12,239
1955-01,252
1955-02,243
1955-03,277
1955-04,279
1955-05,280
1955-06,325
1955-07,374
1955-08,357
1955-09,322
1955-10,284
1955-11,247
1955-12,288
1956-01,294
1956-02,287
1956-03,327
1956-04,323
1956-05,328
1956-06,384
1956-07,423
1956-08,415
1956-09,365
1956-10,316
1956-11,281
1956-12,316
1957-01,325
1957-02,311
1957-03,366
1957-04,358
1957-05,365
1957-06,432
1957-07,475
1957-08,477
1957-09,414
1957-10,357
1957-11,315
1957-12,346
1958-01,350
1958-02,328
1958-03,372
1958-04,358
1958-05,373
1958-06,445
1958-07,501
1958-08,515
1958-09,414
1958-10,369
1958-11,320
1958-12,347
1959-01,370
1959-02,352
1959-03,416
1959-04,406
1959-05,430
1959-06,482
1959-07,558
1959-08,569
1959-09,473
1959-10,417
1959-11,372
1959-12,415
1960-01,427
1960-02,401
1960-03,429
1960-04,471
1960-05,482
1960-06,545
1960-07,632
1960-08,616
1960-09,518
1960-10,471
1960-11,400
1960-12,442
